id,document_id,course,questions
0,c02e79ef,data-engineering-zoomcamp,"[
  ""When exactly does the course begin?"",
  ""Is there a Google Calendar for the course schedule?"",
  ""How do I register for the course before it begins?"",
  ""Where can I join for course announcements?"",
  ""Which Slack channel should I join for the course?""
]"
1,1f6520ca,data-engineering-zoomcamp,"[
    ""Where can I find the prerequisites for this course?"",
    ""What are the required skills for this course?"",
    ""Do I need any prior knowledge before starting the course?"",
    ""Is there a list of prerequisites for this course?"",
    ""Where should I look for the course prerequisites on GitHub?""
]"
2,7842b56a,data-engineering-zoomcamp,"[
  ""Can I join the course after it has already started?"",
  ""Am I allowed to submit homework if I join late?"",
  ""Are there deadlines for final projects if I join after the start date?"",
  ""What happens if I don't register by the start date?"",
  ""Is it possible to complete the course requirements if I start late?""
]"
3,0bbf41ec,data-engineering-zoomcamp,"[
  ""When will I get the confirmation email for the Data Engineering Bootcamp?"",
  ""Is registration necessary to start learning and submitting homework?"",
  ""How is the list of registered students used in the Data Engineering Bootcamp?"",
  ""Do I need to wait for confirmation before beginning the bootcamp?"",
  ""Why is registration required if I can start without it?""
]"
4,63394d91,data-engineering-zoomcamp,"[""What should I do before the course starts?"",
 ""Do I need to install Google Cloud SDK before the course begins?"",
 ""Is a Google Cloud account required before the course?"",
 ""Should I review the prerequisites and syllabus before starting?"",
 ""Does the course require Python 3 installed with Anaconda?""]"
5,2ed9b986,data-engineering-zoomcamp,"[
  ""How many Zoomcamps are there in a year?"",
  ""When does the Data-Engineering Zoomcamp take place?"",
  ""Can I take the Zoomcamps out of sync with any 'live' cohort?"",
  ""Are there separate Zoomcamps for different courses?"",
  ""If I'm not interested in the Certificate, can I take Zoomcamps at my own pace?""
]"
6,93e2c8ed,data-engineering-zoomcamp,"[
    ""Will the 2024 cohort use the same tools as the 2023 cohort?"",
    ""Is Mage AI being used in the current cohort?"",
    ""Were the terraform videos updated for the 2024 cohort?"",
    ""What was used instead of Mage AI in the 2023 cohort?"",
    ""Is Prefect still being used in the 2024 cohort?""
]"
7,a482086d,data-engineering-zoomcamp,"[""Can I access the course materials after it ends?"",
 ""Is it possible to work on homeworks after the course finishes?"",
 ""Can I take the course at my own speed after it concludes?"",
 ""Will I be able to prepare for the next cohort after the course is over?"",
 ""Am I allowed to start the final capstone project after the course ends?""]"
8,eb56ae98,data-engineering-zoomcamp,"[""Can I get support if I'm taking the course self-paced?"", ""Where should I search for answers before asking in the support channel?"", ""Is there a bot available to help with questions, and how reliable is it?"", ""What is the first step before asking questions in the Slack channel?"", ""Can the @ZoomcampQABot handle all my questions effectively?""]"
9,4292531b,data-engineering-zoomcamp,"[
  ""Where are all the main videos stored for the course?"",
  ""Is there a specific YouTube playlist I should follow for the main videos?"",
  ""How can I directly access individual videos from the course?"",
  ""Are there year-specific playlists available for additional videos?"",
  ""Where can I find the link to the main YouTube playlist for the course?""
]"
10,ea739c65,data-engineering-zoomcamp,"[
  ""How many hours per week should I spend on this course?"",
  ""What is the expected weekly time commitment for this course?"",
  ""Can I calculate the weekly hours required for this course myself?"",
  ""Does the weekly time requirement for the course vary based on my experience?"",
  ""What are the expected weekly hours for someone with no prior module experience?""
]"
11,cb257ee5,data-engineering-zoomcamp,"[""Can I obtain a certificate if I complete the course on my own schedule?"",
""Is a certificate available for self-paced course completion?"",
""Do I need to join a live cohort to get a certificate?"",
""Why is a certificate not provided for the self-paced mode?"",
""What is required after submitting a project to receive a certificate?""]"
12,04aa4897,data-engineering-zoomcamp,"[""Where can I find the Zoom link for office hours?"",
 ""How do students participate in workshop sessions if not via Zoom?"",
 ""Where will the link to the Youtube Live video for office hours be posted?"",
 ""What platform should I use to submit questions during the live session?"",
 ""Why shouldn't I post questions in the Youtube chat during office hours?""]"
13,9681be3b,data-engineering-zoomcamp,"[
  ""Will I be able to access recordings of missed Office Hours?"",
  ""Are the Office Hours recordings available immediately?"",
  ""Can I rewatch the Office Hours whenever I want?"",
  ""Is it possible to view the Office Hours recording at a later time?"",
  ""Are all workshop sessions recorded for future viewing?""
]"
14,a1daf537,data-engineering-zoomcamp,"[
  ""Where can I find the most up-to-date homework and project deadlines?"",
  ""How will I be notified of any changes to the homework deadlines?"",
  ""Is there a spreadsheet with the latest deadlines for assignments?"",
  ""Who should I watch for updates or extensions on deadlines?"",
  ""Will the form show the updated deadline if the instructor makes any changes?""
]"
15,be5bfee4,data-engineering-zoomcamp,"[
  ""Are late homework submissions permitted in the course?"",
  ""What happens if I submit homework after the due date but the form is still open?"",
  ""Can I confirm my submission time for homework?"",
  ""Are there exceptions for late homework submissions?"",
  ""Do I need to check the Course page for my homework submission?""
]"
16,0e424a44,data-engineering-zoomcamp,"[
  ""Where can I find the location to submit my homework?"",
  ""What is the URL for submitting my homework?"",
  ""Where should I upload my weekly code exercises?"",
  ""Where is the homework submission link supposed to be?"",
  ""What URL should I provide for the homework assignments?""
]"
17,29865466,data-engineering-zoomcamp,"[""How is homework graded in the course management platform?"", 
""Where can I see the points I have received for a homework?"", 
""What contributes to the total points on the leaderboard?"", 
""How many points do I get for submitting something to the FAQ?"", 
""How many points do I earn for each Learning in Public link submitted?""]"
18,016d46a1,data-engineering-zoomcamp,"[
    ""How can I see my display name on the leaderboard?"",
    ""What steps should I follow to find my display name in my course profile?"",
    ""Where do I log in to check my display name for the leaderboard?"",
    ""How do I change my display name for the leaderboard?"",
    ""Where can I find my random, automatically assigned display name?""
]"
19,47972cb1,data-engineering-zoomcamp,"[""Is it okay to use Python 3.10 for this course?"", 
""Will Python 3.11 be compatible with course materials?"", 
""Are there any issues with using Python 3.9?"", 
""Is Python 3.9 still recommended for the course?"", 
""Why is Python 3.9 recommended for troubleshooting?""]"
20,ddf6c1b3,data-engineering-zoomcamp,"[""Should I use my local machine, GCP, or GitHub Codespaces for my development environment?"",
 ""If I choose to work locally, is it necessary to start with week 1 Introduction to Docker?"",
 ""Will I face any challenges if I set up the environment on my Windows laptop?"",
 ""What are the benefits of using a virtual machine for this course?"",
 ""Can I work on this boot camp from multiple locations if I use a virtual machine environment?""]"
21,ac25d3af,data-engineering-zoomcamp,"[
""Is GitHub Codespaces a suitable replacement for CLI/Git Bash to ingest data and create a Docker file?"",
""Can I use GitHub Codespaces to access computing resources with pre-installed tools?"",
""Does GitHub Codespaces support Docker, Docker Compose, and Python?"",
""Can I open GitHub repositories within GitHub Codespaces?"",
""Are there computing Linux resources available through GitHub Codespaces?""
]"
22,251218fc,data-engineering-zoomcamp,"[
    ""Do I have to use GitHub Codespaces if I already have my own setup?"",
    ""Is it mandatory to use GCP VM or can I work from my laptop?"",
    ""Can I complete the course using PostgreSQL and Docker installed on my computer?"",
    ""Are there any specific environment requirements for this course?"",
    ""Is there flexibility in choosing the platform for the course?""
]"
23,3c0114ce,data-engineering-zoomcamp,"[
""Do I need both GitHub Codespaces and GCP for this course?"",
""Is using BigQuery recommended for this course?"",
""Should I focus on learning GCP for my end project?"",
""Can I complete this course with a local environment?"",
""Which platform is better for my course project, GitHub Codespaces or GCP?""
]"
24,f43f5fe7,data-engineering-zoomcamp,"[
  ""How can I open the Run command window to troubleshoot a GCP VM connection issue using VSCode on a Windows machine?"",
  ""Where do I locate the registry values that need changing to fix a GCP VM connection problem?"",
  ""What specific registry value needs to be modified to resolve the GCP VM connection issue and where is it located?"",
  ""How can I open the Registry Editor to change values for solving a GCP VM connection problem?"",
  ""Is there an alternative solution to changing the registry values for fixing a GCP VM connection issue on Windows?""
]"
25,d061525d,data-engineering-zoomcamp,"[
  ""Why does the course prefer using GCP over other cloud providers?"",
  ""Is it mandatory to use GCP for the course exercises and projects?"",
  ""What benefits do new users get when signing up for a GCP account?"",
  ""Do I need a credit card to sign up for the free GCP trial?"",
  ""Can I use AWS or Azure instead of GCP for this course?""
]"
26,1cd01b2c,data-engineering-zoomcamp,"[""What are the costs associated with cloud services for the course?"", ""Is there a way to use GCP without incurring charges?"", ""Do I have to pay for using GCP during the course?"", ""Can I avoid paying for cloud services if I choose GCP?"", ""Are there free cloud service options available for course participants?""]"
27,e4a7c3b0,data-engineering-zoomcamp,"[""Is it possible to complete the course without using any cloud providers?"",
""Can I use local alternatives for all course materials excluding BigQuery?"",
""Will there be guidelines for installing a home lab?"",
""Is BigQuery the only tool in the course that can't be run locally?"",
""Can I complete the entire course using a local setup?""]"
28,7cd1912e,data-engineering-zoomcamp,"[""Can I use AWS for this course instead of GCP?"", ""What should I be aware of if I choose AWS over GCP?"", ""Will the final capstone project be evaluated differently if I use AWS?"", ""Where can I find help if I encounter issues with AWS?"", ""Is there information on using tools other than the recommended ones?""]"
29,52393fb3,data-engineering-zoomcamp,"[
  ""Are there any live Zoom calls besides the Office Hour sessions?"",
  ""Will there be additional live sessions during the Capstone period?"",
  ""When will the additional Zoom calls be announced?"",
  ""Are Capstone period questions addressed in live calls?"",
  ""How will students be informed about extra live sessions?""
]"
30,10515af5,data-engineering-zoomcamp,"[""Will we use the same NYC Trip data?"", ""Is the project the same as last year?"", ""Is the NYC Trip data from January 2021?"", ""Will the 2022 data be used in the project?"", ""Where can I find the NYC Trip data?""]"
31,cdb86a97,data-engineering-zoomcamp,"[
  ""Where can I find the 2022 course content?"",
  ""Is the 2022 repository still available?"",
  ""Has the 2022 repository been deleted?"",
  ""Where was the 2022 content relocated?"",
  ""Can I still access the 2022 course materials?""
]"
32,3e0114ad,data-engineering-zoomcamp,"[
  ""Can I use any tool for my final project?"",
  ""Is it possible to use Airflow for the project?"",
  ""Are there any restrictions on project tools?"",
  ""May I choose another tool for the final project?"",
  ""Am I allowed to use a different tool for my course project?""
]"
33,b2799574,data-engineering-zoomcamp,"[""Can I use Airflow or Prefect instead of Mage in the course?"",
 ""Is it acceptable to use AWS or Snowflake instead of GCP products?"",
 ""Can I replace Tableau with Metabase or Google Data Studio?"",
 ""How many data stacks does the course cover?"",
 ""What should I consider if I use different tools from the course stack?""]"
34,2f19301f,data-engineering-zoomcamp,"[
  ""How can students improve the course repository?"",
  ""What is one way to support the course besides sharing?"",
  ""What should I do if I think the course material can be better organized?"",
  ""How can I show my appreciation for the course?"",
  ""Is there a way to directly suggest changes to the course content?""
]"
35,7c700adb,data-engineering-zoomcamp,"[
  ""Does the course support all operating systems like Windows, Mac, and Linux?"",
  ""Is Linux the preferred operating system for this course?"",
  ""Can I use a Windows computer to complete this course?"",
  ""Are there any students who have successfully completed the course using macOS?"",
  ""Does it matter which operating system I use for this course?""
]"
36,44b14808,data-engineering-zoomcamp,"[
""Why is it recommended to set up a WSL environment from the start?"",
""What should Windows users do when they hit a wall with *.sh shell scripts in later modules?"",
""Are shell scripts in *.sh files used in the RisingWave workshop?"",
""How did past cohorts handle issues with *.sh scripts without using WSL?"",
""Is using git bash or MINGW64 sufficient for completing modules with *.sh scripts on Windows?""
]"
37,76e4baf6,data-engineering-zoomcamp,"[
  ""Are there any recommended books or additional resources for the course?"",
  ""Is there a document with suggested readings for the course?"",
  ""Where can I find extra resources recommended by the course?"",
  ""Could you point me to a list of useful books and materials for the course?"",
  ""Is there an online document with additional course resources?""
]"
38,48b533a8,data-engineering-zoomcamp,"[
  ""How many attempts are allowed for a project?"",
  ""What happens if I miss the first project deadline?"",
  ""Can I resubmit the project if I fail on the first attempt?"",
  ""When is the second project attempt applicable?"",
  ""Do I have another chance to submit the project if I am late with the first attempt?""
]"
39,954044d1,data-engineering-zoomcamp,"[
    ""What should I do first when facing an issue in the course?"",
    ""How can I look up specific errors or issues I encounter?"",
    ""If reinstalling an application does not resolve my issue, what should I try next?"",
    ""Where can I ask questions if I cannot resolve an issue on my own?"",
    ""What information should I include when posting a question about a coding error?""
]"
40,a820b9b3,data-engineering-zoomcamp,"[
  ""When should I ask for help if the troubleshooting guide doesn't resolve my issue?"",
  ""What details should I include about my development environment when asking for help?"",
  ""What should I mention about the commands I ran or videos I followed?"",
  ""Why is it important to include the specific error message and line number when asking a question?"",
  ""Why should I mention the solutions I've already tried when asking for help?""
]"
41,f2945cd2,data-engineering-zoomcamp,"[
  ""How do I clone the course repository from GitHub?"",
  ""What should I do after creating a GitHub account for this course?"",
  ""Where can I learn to set up my own Git repository?"",
  ""What files should I avoid saving in a Git repository?"",
  ""Should I store passwords or keys in a private Git repository?""
]"
42,eb9d376f,data-engineering-zoomcamp,"[
  ""What causes the error in Makefile:2?"",
  ""How can I fix the spacing issue in my VS Code document?"",
  ""What does the error message '*** missing separator. Stop.' mean?"",
  ""Why does my Makefile give a missing separator error?"",
  ""How do I convert spaces to tabs in VS Code?""
]"
43,72f25f6d,data-engineering-zoomcamp,"[
    ""How can I open HTML files from Linux on WSL in a Windows browser?"",
    ""What command should I use to open an HTML file in a browser from WSL?"",
    ""How do I customize the browser used to open HTML files from WSL?"",
    ""Which package do I need to install to open HTML files with wslview?"",
    ""Can I specify a different browser for opening HTML files in WSL?""
]"
44,a1e59afc,data-engineering-zoomcamp,"[""How do I set up Chrome Remote Desktop on a Debian Linux VM instance on Compute Engine?"",
""What should I do if I get an ERROR 403: Forbidden when trying to download 2021 Yellow Taxi Data from the TLC website?"",
""Where can I find the backup link for the 2021 Yellow Taxi Trip Records?"",
""What command should I use to unzip the gz file after downloading the 2021 Yellow Taxi Trip Records?"",
""Can I use the unzip command to decompress the gz file for the Yellow Taxi Trip Records?""]"
45,71c10610,data-engineering-zoomcamp,"[
  ""How should I handle taxi data files now that they are available as *.csv.gz files?"",
  ""Why won’t the data file store correctly if the file extension is csv.gz instead of csv?"",
  ""What is an alternative way to store the data file as csv instead of csv.gz?"",
  ""How can I parse the file name from the URL for the yellow taxi data?"",
  ""Can pandas read_csv function read csv.gz files directly?""
]"
46,17a5aea1,data-engineering-zoomcamp,"[""Where can I find the data dictionary for Yellow Taxi trip records in NYC?"",""Could you provide the link for the data dictionary of Green Taxi trips?"",""Where is the data dictionary for NYC Yellow Taxi data?"",""What is the source for the Green Taxi data dictionary?"",""How can I access the data dictionary for Yellow Taxi rides in NY?""]"
47,5a275db7,data-engineering-zoomcamp,"[
  ""How can I unzip a downloaded parquet file from the command line?"",
  ""What command should I use to convert a parquet file to CSV in ingest_data.py?"",
  ""Where do I add the line to define the output parquet file name in ingest_data.py?"",
  ""How do I modify the code to download files directly in ingest_data.py?"",
  ""Which pandas function should I use to read a parquet file in Python?""
]"
48,7ec0f9b0,data-engineering-zoomcamp,"[
  ""How do I resolve the issue 'wget is not recognized as an internal or external command'?"",
  ""What is the easiest way to install wget on MacOS?"",
  ""Can I use Python to perform wget commands instead?"",
  ""Where can I download a wget binary for Windows?"",
  ""Is there a recommended Python library for downloading gz files?""
]"
49,bb1ba786,data-engineering-zoomcamp,"[""What should I do if wget cannot verify a website certificate on MacOS?"",
 ""Is there a way to run wget in a Jupyter Notebook or CLI without verification errors?"",
 ""How do I use the Python wget library to overcome wget certificate verification errors?"",
 ""What command do I add to wget on MacOS to bypass certificate verification?"",
 ""How can I fix wget certificate verification issues using --no-check-certificate?""]"
50,2f83dbe7,data-engineering-zoomcamp,"[""How can I use the backslash as an escape character in Git Bash for Windows?"",
""What command should I type to set the backslash as an escape character in Git Bash?"",
""Is there a need to include the escape character setting in .bashrc for Git Bash?"",
""What does Alexey normally use the backslash for in Git Bash?"",
""Can you provide the terminal command to make the backslash an escape character in Git Bash?""]"
51,543ff080,data-engineering-zoomcamp,"[
  ""How can I store secrets for GitHub Codespaces in Module 1?"",
  ""Where can I find instructions for managing secrets in GitHub Codespaces?"",
  ""What is covered in Module 1 regarding secrets for GitHub Codespaces?"",
  ""How do I ensure my secrets are available in GitHub Codespaces?"",
  ""What documentation should I refer to for managing secrets in GitHub Codespaces?""
]"
52,d407d65b,data-engineering-zoomcamp,"[""How can I resolve the error 'Cannot connect to Docker daemon at unix:///var/run/docker.sock' in Docker?"",
 ""What should I do if I can't start the Docker daemon?"",
 ""How do I check if the Docker daemon is running?"",
 ""What command should I use to update WSL if Docker can't connect to the daemon?"",
 ""What might be the issue if Docker cannot connect to the Docker daemon?""]"
53,c9375c56,data-engineering-zoomcamp,"[
  ""How can I resolve the error where Docker cannot find the file specified on Windows?"",
  ""What do Windows 10 Pro users need to do to set up Docker with Hyper-V?"",
  ""What backend can Windows 10 Home users use to run Docker?"",
  ""Where can I find instructions to install the Windows Subsystem for Linux (WSL2) on Windows 11?"",
  ""What steps should I take if I encounter the error WslRegisterDistribution failed with error: 0x800701bc while installing WSL2?""
]"
54,e866156b,data-engineering-zoomcamp,"[""What should I do if I receive a 'docker login' denied error when trying to pull a Docker image during the course?"", ""Is it necessary to perform a docker login to fetch the Docker images used in the Data Engineering Zoomcamp?"", ""Can you explain why I am getting a 'permission denied' error when creating a PostgreSQL Docker container with a mounted volume on macOS M1?"", ""How can I resolve the error 'repository does not exist or may require docker login' when trying to pull an image?"", ""What steps should I take if I face compatibility issues when using Rancher Desktop and want to create a PostgreSQL container with mounted volumes on macOS M1?""]"
55,16370470,data-engineering-zoomcamp,"[""How do I delete a local folder mounted to a Docker volume?"", ""What should I do if a folder created by Docker is owned by user 999 and I can't delete it?"", ""What is the command to delete a folder with write and read protection created by a Docker container?"", ""Why can't I delete a local folder created by a Docker container by dragging it to the trash?"", ""How can I resolve an access error caused by a folder created by a Docker PostgreSQL container?""]"
56,316df755,data-engineering-zoomcamp,"[""How can I resolve Docker not starting on Windows 10 or 11?"",
""What should I do if Docker is stuck in settings on Windows?"",
""How do I switch Docker containers between Windows and Linux?"",
""What is required to use Hyper-V as Docker's back-end on Windows Pro Edition?"",
""Where can I find the tutorial to enable Hyper-V on Windows 10 or 11?""]"
57,f3aa9252,data-engineering-zoomcamp,"[
  ""Is it necessary to use Linux filesystem in WSL for running Docker commands?"",
  ""How can I make Docker work on Windows 10 or 11 Home Edition?"",
  ""What should I do if Docker remains stuck even after WSL2 or Hyper-V setup?"",
  ""Is there a tutorial I can follow to set up WSL2 for Docker on Windows Home Edition?"",
  ""What are some troubleshooting steps if Docker doesn't work after setup?""
]"
58,a4abe7a5,data-engineering-zoomcamp,"[""How can I store all code in Linux for Docker to improve file system performance?"", 
""Where can I find more information on Docker best practices for file system performance?"",
""Why does Docker run on WSL2 backend by default for Windows Home users?"",
""Which Linux distribution should I use to store code for Docker optimization?"",
""Are there Docker Docs available for best practices on storage and performance?""]"
59,fb930700,data-engineering-zoomcamp,"[
  ""What should I do if I get 'the input device is not a TTY' error while running Docker on Windows?"",
  ""How can I fix the 'not a TTY' error when using Docker with mintty on Windows?"",
  ""Is there a way to avoid prefixing 'winpty' every time I run a Docker command on Windows?"",
  ""Can I create an alias for Docker commands in Windows to avoid 'winpty' issues?"",
  ""What is the solution for 'the input device is not a TTY' error in Docker run on Windows?""
]"
60,aa187680,data-engineering-zoomcamp,"[""What can I do if I cannot pip install on my Docker container on Windows?"", ""How do I resolve a 'Temporary failure in name resolution' error when running pip install in Docker?"", ""What command might help if I face connection errors during pip install in a Docker container on Windows?"", ""What is a possible solution for pip install issues in a Docker container with Windows?"", ""What might be a fix if pip install fails in Docker with a 'Retrying after connection broken' error?""]"
61,b000e899,data-engineering-zoomcamp,"[""How do I resolve the issue of the ny_taxi_postgres_data folder being empty in VS Code after running the Docker script?"", ""What command should I use on Windows to ensure the ny_taxi_postgres_data folder is not empty in VS Code?"", ""What environment variables are needed for running the Docker container to populate the ny_taxi_postgres_data folder?"", ""Which Docker run parameters are necessary to correctly map the data folder on Windows for the ny_taxi PostgreSQL container?"", ""Why is it important to quote the absolute path in the -v parameter for the Docker run command on Windows?""]"
62,9c66759f,data-engineering-zoomcamp,"[
  ""What is the best way to set up Docker on a Mac?"",
  ""Is the method mentioned in the article for setting up Docker on macOS still valid?"",
  ""Has Docker's change in licensing model affected the setup process on macOS?"",
  ""What alternative method can I use to install Docker on macOS?"",
  ""Are there any issues with downloading Docker from its website?""
]"
63,e3106e07,data-engineering-zoomcamp,"[
  ""How can I fix the 'Operation not permitted' error when changing permissions of the directory /var/lib/postgresql/data in Docker?"",
  ""What environment variables do I need to set for running the PostgreSQL Docker container?"",
  ""How can I verify that the Docker volume has been created and mapped correctly?"",
  ""What should I do if I encounter the 'directory exists but is not empty' error during PostgreSQL initialization?"",
  ""What command can I use to create a local Docker volume and map it to the PostgreSQL data directory?""
]"
64,72229da5,data-engineering-zoomcamp,"[
""Why am I getting Docker error 'invalid reference format: repository name must be lowercase' when mounting volumes on Windows?"",
""How should I move my data to avoid issues with Docker volume mapping on Windows?"",
""What are the different options I can try for the '-v' part when mapping volumes with Docker on Windows?"",
""Why might adding 'winpty' before the Docker command help when running it on Windows?"",
""What can I do if Docker automatically creates a folder called 'ny_taxi_postgres_data;C' when mapping volumes?""
]"
65,58c9f99f,data-engineering-zoomcamp,"[
  ""How can I fix the Docker invalid mode error?"",
  ""What should I replace the mounting path with to resolve the Docker error?"",
  ""What's the solution for Docker - Error response from daemon?"",
  ""How do I change the mounting path in Docker?"",
  ""What are the correct mounting paths for Docker with PostgreSQL?""
]"
66,bc42139a,data-engineering-zoomcamp,"[
    ""Why do I get an error response from Docker daemon when creating a buildmount source path?"",
    ""What should I do if I encounter an error while creating buildmount source path on my second docker run?"",
    ""How can I avoid the file exists error when running docker command for the second time?"",
    ""Which specific Docker command should I use on the second run to avoid mounting issues?"",
    ""What changes should be made to the Docker run command to prevent buildmount source path error on subsequent runs?""
]"
67,a146e3ee,data-engineering-zoomcamp,"[
""Why am I getting the error 'can't stat '/home/user/repos/data-engineering/week_1_basics_n_setup/2_docker_sql/ny_taxi_postgres_data'' when building my Docker image?"",
""What does changing the user ID of the directory ny_taxi_postgres_data to 999 cause during the Docker build process?"",
""How can I fix the Docker build error related to directory permissions?"",
""What command can I use to change the directory permissions on Ubuntu to fix the Docker build error?"",
""Where can I find more information on resolving the 'error checking context' issue when building a Docker image?""
]"
68,593a85ba,data-engineering-zoomcamp,"[""How do I resolve the Docker error message: ERRO[0000] error waiting for container: context canceled?"",
""What should I check if I receive a 'context canceled' error in Docker?"",
""How can I verify if Docker is installed through snap?"",
""What does it mean if I see 'error: unknown command \""status\"", see 'snap help'.' when checking Docker status?"",
""What should I do if I have installed Docker via snap and encounter errors?""]"
69,50bd1a71,data-engineering-zoomcamp,"[""What should I do if I encounter a 'can’t stat' error when building a Docker image?"", ""How do I resolve a permissions issue in PopOS Linux related to a Docker build?"", ""What command can I use to add permission to a folder for a Docker build?"", ""Why might a folder appear empty during a Docker build even though it's not?"", ""What is the correct syntax to change permissions for the 'ny_taxi_postgres_data' folder in Docker?""]"
70,f409f751,data-engineering-zoomcamp,"[
  ""Why do I get 'permission denied' when trying to build a Docker container on Ubuntu/Linux systems again?"",
  ""What command should I use to fix the permission denied error when rebuilding a Docker container?"",
  ""Why does the Docker build command fail with 'failed to read dockerfile: error from sender'?"",
  ""How can I grant permissions to the folder created during the Docker build process?"",
  ""What does running 'sudo chmod -R 755 ny_taxi_postgres_data' do to resolve Docker permission issues?""
]"
71,7d217da3,data-engineering-zoomcamp,"[
""How can I find the name of a Docker network?"",
""Where can I see a list of Docker networks?"",
""What command lists Docker networks?"",
""How to get the network name in Docker?"",
""Which command to use for viewing Docker network names?""
]"
72,09081824,data-engineering-zoomcamp,"[
  ""What should I do if I get a conflict error because the container name 'pg-database' is already in use?"",
  ""How can I resolve the Docker error response from daemon that says there is a conflict with container 'pg-database'?"",
  ""What steps should be taken if a Docker container name is already in use when I try to restart it?"",
  ""How do I stop and remove a running Docker container named 'pg-database' to reuse its name?"",
  ""What is the recommended command to restart a Docker image without removing it when encountering a container name conflict?""
]"
73,4df80c55,data-engineering-zoomcamp,"[
  ""What error might I encounter if Docker cannot translate the host name when using docker-compose?"",
  ""How can I identify and resolve the 'could not translate host name' error with PostgreSQL in Docker?"",
  ""What steps should I take if I receive a sqlalchemy.exc.OperationalError related to postgres in docker-compose?"",
  ""During docker-compose up -d, how do I determine which network is created to fix database connection issues?"",
  ""What are examples of how network names might change when using docker-compose for PostgreSQL?""
]"
74,3aee7261,data-engineering-zoomcamp,"[
    ""What should I do if I cannot install Docker on MacOS/Windows 11 VM running on Linux?"",
    ""How can I enable nested virtualization on an Intel CPU to install Docker on a VM?"",
    ""What are the specific modprobe commands to run for nested virtualization on an AMD CPU?"",
    ""Is there a different command to enable nested virtualization for different CPUs?"",
    ""Why am I unable to install Docker on a VM running on top of Linux?""
]"
75,6497b659,data-engineering-zoomcamp,"[
  ""How can I manage my Docker containers, images, and networks from VS Code?"",
  ""Is there an official extension for managing Docker in VS Code?"",
  ""Will the VS Code Docker extension work if Docker runs on WSL2?"",
  ""How do I launch the Docker extension in VS Code?"",
  ""What command is used to stop a Docker container?""
]"
76,a02f2039,data-engineering-zoomcamp,"[""Why is my Postgres Docker container not accepting requests?"", ""What should I do if my PostgreSQL Docker logs show the database system is shut down?"", ""How can I fix a Postgres Docker container that terminated abnormally?"", ""Why is my connection to the Postgres Docker server failing unexpectedly?"", ""How should I handle the directory with data mapped to my Postgres Docker container when facing errors?""]"
77,c6db65aa,data-engineering-zoomcamp,"[
  ""How can I install Docker on certain Ubuntu versions?"",
  ""Is there an alternative to apt for installing Docker on Ubuntu?"",
  ""What command should I use to install Docker on Ubuntu if apt doesn't work?"",
  ""What issue might arise with Docker installation on some Ubuntu systems?"",
  ""How can I utilize snap to install Docker on Ubuntu?""
]"
78,f476a606,data-engineering-zoomcamp,"[
   ""What should I do if I receive an operation not permitted error when trying to change permissions of a directory in Docker-Compose?"",
   ""How can I define a named volume in my Docker-Compose file?"",
   ""What command can I use to inspect the location of a Docker volume?"",
   ""Why might Docker create a new volume instead of using an existing one when I run docker compose up?"",
   ""How can I solve the problem of Docker creating a new volume with the wrong name?""
]"
79,e41b100c,data-engineering-zoomcamp,"[
    ""What should I do if Docker-Compose gives an error translating host name to address?"",
    ""How can I start my containers in detached mode using Docker-Compose?"",
    ""What command should I use to view running containers in Docker?"",
    ""How can I view logs for a specific container in Docker?"",
    ""What should I do if pg-database does not appear in the list of running containers?""
]"
80,cd0f9300,data-engineering-zoomcamp,"{
  ""questions"": [
    ""Why am I getting a 'could not translate host name to address' error during 'docker-compose up'?"",
    ""What should I do if I lose database data and get an operational error with Docker Compose?"",
    ""How can I find the network name created by Docker Compose?"",
    ""What should I check in the logs after running 'docker-compose up'?"",
    ""What alternatives to pgcli can I use if issues persist?""
  ]
}"
81,7f845a1c,data-engineering-zoomcamp,"[
    ""What should I do if Docker-Compose returns an error response from the daemon indicating that the network is not found?"",
    ""How do I resolve the issue of Docker-Compose being unable to connect to the server on localhost:8080 due to a hostname resolution failure?"",
    ""What is a recommended hostname to use in Docker-Compose to avoid resolution issues?"",
    ""How should I specify the Docker network in the docker-compose.yml file to ensure both containers are on the same network?"",
    ""What environment variables should I set for the pgdatabase service in Docker-Compose to properly configure Postgres?""
]"
82,36e54439,data-engineering-zoomcamp,"[
  ""What can I do to ensure pgadmin data persists when using docker-compose on GCP?"",
  ""Why doesn't postgres persist its data to the mentioned path when using docker-compose on GCP?"",
  ""How can I solve the issue of pgadmin not persisting data using docker-compose?"",
  ""What should I change in my docker-compose file to make sure pgadmin data is saved?"",
  ""Can you provide an example of using Docker Volume to persist pgadmin data on GCP?""
]"
